fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente_URL
2025-11-22,08:08:47,Campello,Disturbios Civiles,"Noticias de Alicante El Día Internacional para la Eliminación de la Violencia contra la Mujer vivirá una edición más en Alicante. Este año, como en los anteriores, no habrá una sola manifestación para conmemorar esta fecha que pretende concienciar a la ciudadanía contra la lacra de la violencia de género.  [Enlace: https://ift.tt/q9cFuQX]",,,,@AlicanteDirectoNews
2025-11-22,16:51:27,Campello,Criminalidad,Detenido en Dénia un joven de 23 años por extorsión digital  [Enlace: https://diariodealicante.net/detenido-en-denia-un-joven-de-23-anos-por-extorsion-digital/],,,,@diarioAlicante
2025-11-22,17:09:16,Campello,Terrorismo,"Noticias de Alicante Alicante ya es Lugar de Memoria Democrática. Este sábado se ha publicado la declaración en el BOE y la ciudad ha vivido sendos actos en tres hitos: el Mercado Central, donde ocurrió el bombardeo del 25 de mayo de 1938; el puerto, último bastión de una República que huía de la represión; y la tumba del poeta Miguel Hérnandez, muerto en la cárcel franquista.  [Enlace: https://ift.tt/mrJWznk]",,,,@AlicanteDirectoNews
2025-11-22,23:34:11,Campello,Criminalidad,"Noticias de Sucesos y Tribunales en INFORMACIÓN  Dos heridos en una agresión con arma blanca en Ávila Un ""hundimiento fortuito"" por una causa geológica ""puntual e inesperada"", la hipótesis que cobra fuerza sobre la tragedia minera de Asturias La clínica de Valencia donde fue atendida la menor fallecida no tenía autorización para sedaciones por vía intravenosa Detenido un hombre por asesinar a su expareja de 60 años en Málaga La clave de la absolución de los cuatro portugueses acusados de la violación del Carmen, en Gijón: un vídeo grabado sin que las chicas lo supieran Prisión comunicada y...  [Enlace: https://www.informacion.es/sucesos/]",,,,WEB www.informacion.es
2025-11-22,23:35:43,Campello,Criminalidad,"Noticias de Sucesos y Tribunales en INFORMACIÓN  Dos heridos en una agresión con arma blanca en Ávila Un ""hundimiento fortuito"" por una causa geológica ""puntual e inesperada"", la hipótesis que cobra fuerza sobre la tragedia minera de Asturias La clínica de Valencia donde fue atendida la menor fallecida no tenía autorización para sedaciones por vía intravenosa Detenido un hombre por asesinar a su expareja de 60 años en Málaga La clave de la absolución de los cuatro portugueses acusados de la violación del Carmen, en Gijón: un vídeo grabado sin que las chicas lo supieran Prisión comunicada y...  [Enlace: https://www.informacion.es/sucesos/]",,,,WEB www.informacion.es
2025-11-22,23:36:24,Campello,Criminalidad,"Última Hora de la Vega Baja | Actualidad y Noticias de la Vega Baja en INFORMACION  Torrevieja solo tiene siete meses para invertir 8,9 millones de fondos europeos en reformas para 745 pisos La Fiscalía pide el ingreso en un centro de menores en régimen cerrado para el presunto autor de una agresión con arma blanca a un joven de 16 años en Torrevieja El pleno de Orihuela llega a la Costa por primera vez La CHS invertirá 12 millones en la vigilancia de las presas contra inundaciones en la cuenca del Segura La Fiscalía investiga al obispo Munilla por posibles delitos de odio y discriminación...  [Enlace: https://www.informacion.es/vega-baja/]",,,,WEB www.informacion.es
2025-11-22,23:36:37,Campello,Hazards,Noticias de Salud en Diario de Alicante  Diario de Alicante ISSN: 3101-1284 - Edita © Real de a 8 Comunicación - Todos los derechos reservados  [Enlace: https://diariodealicante.net/category/salud/],,,,WEB diariodealicante.net
2025-11-22,23:37:29,Campello,Hazards,Teléfonos de interés - Ayuntamiento de San Vicente de Raspeig  Inicio / Áreas Municipales / Mayores / Teléfonos de interés Unidad de Salud Mental Infantil – Cita previa: 965 31 55 76 Asociación Jubilados y Pensionistas Comunidad Valenciana Asociación Jubilados y Pensionistas Sta. Isabel UDP  [Enlace: https://www.raspeig.es/servicios/telefonos-de-interes/],,,,WEB www.raspeig.es
