fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente_URL
2025-12-01,11:47:13,Campello,Disturbios Civiles,"Últimas Noticias de Comunidad Valenciana | Onda Cero Comunidad Valenciana Juanfran Pérez Llorca, presidente electo de la Generalitat Valenciana, presenta su renuncia como alcalde en Finestrat La manifestación con el lema 'Mazón a presó' convocada para este sábado modifica el recorrido Diciembre empieza invernal en la Comunitat Valenciana, con cielo nuboso y más frío La jueza de la DANA descarta ""por el momento"" volver a citar a la periodista Vilaplana Interinos de la consellería de Educación se movilizan por impagos de nómina con deudas de hasta 8.000 euros Hay más de 600 trabajadores afect...",,,,WEB https://www.ondacero.es/emisoras/comunidad-valenciana/
2025-12-01,13:55:40,Campello,Criminalidad,Sucesos locales | Noticias de Sucesos locales - Información Detenido en Elda un hombre de 57 años por un robo con fuerza en un supermercado Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Detenido en Elda por estafar a extranjeros en situación irregular a los que ofrecía trabajo sin pagarles El CGPJ zanja el conflicto judicial en Alicante por los casos de viol...,,,,WEB https://www.informacion.es/sucesos/sucesos-en-alicante/
2025-12-01,13:55:53,Campello,Disturbios Civiles,"Últimas Noticias de Comunidad Valenciana | Onda Cero Comunidad Valenciana Juanfran Pérez Llorca, presidente electo de la Generalitat Valenciana, presenta su renuncia como alcalde en Finestrat La manifestación con el lema 'Mazón a presó' convocada para este sábado modifica el recorrido Diciembre empieza invernal en la Comunitat Valenciana, con cielo nuboso y más frío La jueza de la DANA descarta ""por el momento"" volver a citar a la periodista Vilaplana En ‘A mesa puesta’, Mateo Marco no quita razón ""a quienes dispuestos a comer, despotrican contra platos que para saborearlos exigen trajín” 🎤...",,,,WEB https://www.ondacero.es/emisoras/comunidad-valenciana/
2025-12-01,15:58:30,Campello,Criminalidad,Dos detenidos por 13 robos con violencia en Torrevieja mediante el método del tirón  [Enlace: https://diariodealicante.net/dos-detenidos-robos-violencia-torrevieja-metodo-tiron/],,,,@diarioAlicante
2025-12-01,15:58:31,Campello,Disturbios Civiles,"Noticias de Alicante En plena campaña para exigir el aumento salarial de los profesores para salir de la cola de los peor retribuidos del país, con una huelga convocada el próximo 11 de diciembre en los centros educativos, docentes de la Comunidad Valenciana han denunciado ahora retrasos en el cobro de la nómina. via Información - Alicante  [Enlace: https://ift.tt/JNAEer3]",,,,@AlicanteDirectoNews
2025-12-01,15:58:37,Campello,Criminalidad,"Noticias de Sucesos y Tribunales en INFORMACIÓN Un sintecho muere ahogado tras caer al agua en el paseo del puerto en Alicante Seis detenidos al desmantelar dos puntos de venta de drogas en la ""zona guiri"" de Benidorm El misterio de la mujer desaparecida en Benicàssim: ""Se dejó la ropa en la arena, pero no había llaves ni móvil"" Los vecinos de la mujer presuntamente asesinada en Torrejón: ""Se escucharon gritos de auxilio.",,,,WEB https://www.informacion.es/sucesos/
2025-12-01,15:58:37,Campello,Criminalidad,"Sucesos locales | Noticias de Sucesos locales - Información Un sintecho muere ahogado tras caer al agua en el paseo del puerto en Alicante Seis detenidos al desmantelar dos puntos de venta de drogas en la ""zona guiri"" de Benidorm Detenido en Elda un hombre de 57 años por un robo con fuerza en un supermercado Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Dete...",,,,WEB https://www.informacion.es/sucesos/sucesos-en-alicante/
2025-12-01,15:58:58,Campello,Criminalidad,"Última Hora de la Vega Baja | Actualidad y Noticias de la Vega Baja en INFORMACION Aparece un cadáver flotando en el río a la altura del Puente de Levante de Orihuela Detenidos dos jóvenes en Torrevieja por 13 robos de joyas con el método del tirón ""Estamos helados de frío"": en clase y con el abrigo puesto en el colegio Playas de Orihuela Los barracones se cronifican en Alicante tras ganar 18.000 nuevos alumnos en cinco años Sanidad convoca 709 plazas de personal médico y enfermero para reforzar la provincia de Alicante Orihuela instalará placas solares en 14 edificios municipales El tiempo...",,,,WEB https://www.informacion.es/vega-baja/
2025-12-01,16:14:31,Campello,Criminalidad,https://www.europapress.es/comunitat-valenciana/noticia-seis-detenidos-desmantelar-dos-puntos-venta-drogas-zona-mas-turistica-benidorm-alicante-20251201121537.html  [Enlace: https://www.europapress.es/comunitat-valenciana/noticia-seis-detenidos-desmantelar-dos-puntos-venta-drogas-zona-mas-turistica-benidorm-alicante-20251201121537.html],,,,@alicanteprensapolicianacional
2025-12-01,16:29:31,Campello,Disturbios Civiles,El Sindicat de Vivenda de Zona Nord convoca una protesta en Alicante para frenar un desalojo que considera irregular  [Enlace: https://diariodealicante.net/protesta-desalojo-alicante-virgen-remedio/],,,,@diarioAlicante
2025-12-01,17:21:47,Campello,Criminalidad,"Última Hora de la Vega Baja | Actualidad y Noticias de la Vega Baja en INFORMACION Aparece un cadáver flotando en el río a la altura del Puente de Levante de Orihuela Un jardinero se cae de tres metros de altura mientras trabajaba en Orihuela Detenidos dos jóvenes en Torrevieja por 13 robos de joyas con el método del tirón ""Estamos helados de frío"": en clase y con el abrigo puesto en el colegio Playas de Orihuela Los barracones se cronifican en Alicante tras ganar 18.000 nuevos alumnos en cinco años Torrevieja licita de nuevo el servicio de bus urbano después de que lo tumbara un tribunal S...",,,,WEB https://www.informacion.es/vega-baja/
2025-12-01,17:26:46,Campello,Criminalidad,"Última Hora de la Vega Baja | Actualidad y Noticias de la Vega Baja en INFORMACION Aparece un cadáver flotando en el río a la altura del Puente de Levante de Orihuela Un jardinero se cae de tres metros de altura mientras trabajaba en Orihuela Detenidos dos jóvenes en Torrevieja por 13 robos de joyas con el método del tirón Torrevieja licita de nuevo el servicio de bus urbano después de que lo tumbara un tribunal ""Estamos helados de frío"": en clase y con el abrigo puesto en el colegio Playas de Orihuela Sanidad convoca 709 plazas de personal médico y enfermero para reforzar la provincia de A...",,,,WEB https://www.informacion.es/vega-baja/
2025-12-01,17:59:34,Campello,Criminalidad,"Noticias de Sucesos y Tribunales en INFORMACIÓN Un sintecho muere ahogado tras caer al agua en el paseo del puerto en Alicante Seis detenidos al desmantelar dos puntos de venta de drogas en la ""zona guiri"" de Benidorm El misterio de la mujer desaparecida en Benicàssim: ""Se dejó la ropa en la arena, pero no había llaves ni móvil"" Los vecinos de la mujer presuntamente asesinada en Torrejón: ""Se escucharon gritos de auxilio.",,,,WEB https://www.informacion.es/sucesos/
2025-12-01,17:59:35,Campello,Criminalidad,"Sucesos locales | Noticias de Sucesos locales - Información Un sintecho muere ahogado tras caer al agua en el paseo del puerto en Alicante Seis detenidos al desmantelar dos puntos de venta de drogas en la ""zona guiri"" de Benidorm Detenido en Elda un hombre de 57 años por un robo con fuerza en un supermercado Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Dete...",,,,WEB https://www.informacion.es/sucesos/sucesos-en-alicante/
