fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente_URL
2025-11-21,10:10:53,Campello,Disturbios Civiles,"Anota estas fechas: los médicos irán a la huelga cuatro días consecutivos  Anota estas fechas: los médicos irán a la huelga cuatro días consecutivos La nueva convocatoria es en diciembre en demanda de una mejora de las condiciones para los facultativos La Confederación Española de Sindicatos Médicos (CESM) han convocado cuatro jornadas consecutivas de huelga nacional fijadas para el próximo mes de diciembre para mostrar el rechazo de la profesión al borrador de Estatuto Marco que pretende aprobar el Ministerio de Sanidad, después de que en los últimos meses no se haya producido ningún avanc...  [Enlace: https://www.informacion.es/alicante/2025/11/20/huelga-medicos-alicante-diciembre-sanidad-123939436.html]",,,,WEB www.informacion.es
2025-11-21,11:58:02,Campello,Criminalidad,Una célula itinerante especializada en robos en domicilios deja varias víctimas en Alicante  [Enlace: https://diariodealicante.net/robo-domicilios-alicante-celula-itinerante/],,,,@diarioAlicante
2025-11-21,13:09:28,Campello,Conflicto Armado,"Noticias de Alicante Alicante está acostumbrada a recibir cruceros, ferris, barcos escuela, incluso alguna fragata militar en fechas señaladas. Pero este jueves la estampa en el puerto alicantino ha sido otra: la silueta imponente del Jacques Chevallier, uno de los buques de apoyo más modernos de la Marine Nationale francesa, recortándose sobre la dársena como si hubiera salido directamente de una película bélica.  [Enlace: https://ift.tt/6izfR9m]",,,,@AlicanteDirectoNews
2025-11-21,17:22:57,Campello,Disturbios Civiles,"Noticias de Alicante Los profesores expertos de Formación Profesional (FP) han aceptado la última oferta de la Conselleria de Educación sobre sus condiciones laborales, pero han condicionado el final de la huelga iniciada el 3 de noviembre, que tiene a más de 5.000 alumnos de la provincia de Alicante sin clases, a que las medidas se apliquen de manera inmediata. via Información - Alicante  [Enlace: https://ift.tt/c83LOwk]",,,,@AlicanteDirectoNews
2025-11-21,22:21:53,Campello,Disturbios Civiles,Noticias de Alicante La Subdelegación del Gobierno ha empezado a notificar multas de 601 euros a varias personas que participaron el pasado 10 de abril en la protesta convocada en Juan XXIII para tratar de frenar el desahucio de una pareja en situación de vulnerabilidad. Las sanciones se basan en un informe de la Policía Nacional que atribuye a los activistas haber impedido el acceso al portal donde la comisión judicial debía ejecutar el lanzamiento.  [Enlace: https://ift.tt/kqVUDOH],,,,@AlicanteDirectoNews
2025-11-21,23:08:47,Campello,Conflicto Armado,"Noticias de Alicante Un capítulo más en el enfrentamiento que el gobierno municipal del PP y el PSOE, principal grupo de la oposición, están protagonizando esta semana en el Ayuntamiento de Alicante. Tras el cruce de comunicados de este jueves, ambas formaciones han vuelto a lanzarse acusaciones cruzadas por la negociación de los próximos presupuestos.  [Enlace: https://ift.tt/5MSBcbx]",,,,@AlicanteDirectoNews
2025-11-22,02:22:40,Campello,Disturbios Civiles,El Gobierno multa a activistas que intentaron frenar el desahucio de una pareja vulnerable en Alicante  El Gobierno multa a activistas que intentaron frenar el desahucio de una pareja vulnerable en Alicante La Subdelegación propone sanciones de 600 euros por “obstaculizar” la ejecución mientras el Sindicat de Vivenda de Carolines y EU-Podemos denuncian represión y falta de alternativas La Subdelegación del Gobierno ha empezado a notificar multas de 601 euros a personas que participaron el pasado 10 de abril en la protesta convocada en Juan XXIII para tratar de frenar el desahucio de una par...  [Enlace: https://www.informacion.es/alicante/2025/11/21/gobierno-multa-desahucio-vulnerable-alicante-123990262.html],,,,WEB www.informacion.es
